Module	Section	Sample Name	Source
Samtools	stats	processed | Bam_related_logs | logs_trimmed_KO_SRR13633857 | trimmed_KO_SRR13633857	/home/moji-lin/rna-seq-reanalysis/data/processed/Bam_related_logs/logs_trimmed_KO_SRR13633857/trimmed_KO_SRR13633857.samstats.txt
Samtools	stats	processed | Bam_related_logs | logs_trimmed_KO_SRR13633858 | trimmed_KO_SRR13633858	/home/moji-lin/rna-seq-reanalysis/data/processed/Bam_related_logs/logs_trimmed_KO_SRR13633858/trimmed_KO_SRR13633858.samstats.txt
Samtools	stats	processed | Bam_related_logs | logs_trimmed_KO_SRR13633859 | trimmed_KO_SRR13633859	/home/moji-lin/rna-seq-reanalysis/data/processed/Bam_related_logs/logs_trimmed_KO_SRR13633859/trimmed_KO_SRR13633859.samstats.txt
Samtools	stats	processed | Bam_related_logs | logs_trimmed_KO_SRR13633860 | trimmed_KO_SRR13633860	/home/moji-lin/rna-seq-reanalysis/data/processed/Bam_related_logs/logs_trimmed_KO_SRR13633860/trimmed_KO_SRR13633860.samstats.txt
Samtools	stats	processed | Bam_related_logs | logs_trimmed_WT_SRR13633855 | trimmed_WT_SRR13633855	/home/moji-lin/rna-seq-reanalysis/data/processed/Bam_related_logs/logs_trimmed_WT_SRR13633855/trimmed_WT_SRR13633855.samstats.txt
Samtools	stats	processed | Bam_related_logs | logs_trimmed_WT_SRR13633856 | trimmed_WT_SRR13633856	/home/moji-lin/rna-seq-reanalysis/data/processed/Bam_related_logs/logs_trimmed_WT_SRR13633856/trimmed_WT_SRR13633856.samstats.txt
Samtools	flagstat	processed | Bam_related_logs | logs_trimmed_KO_SRR13633857 | trimmed_KO_SRR13633857	/home/moji-lin/rna-seq-reanalysis/data/processed/Bam_related_logs/logs_trimmed_KO_SRR13633857/trimmed_KO_SRR13633857.flagstat.txt
Samtools	flagstat	processed | Bam_related_logs | logs_trimmed_KO_SRR13633858 | trimmed_KO_SRR13633858	/home/moji-lin/rna-seq-reanalysis/data/processed/Bam_related_logs/logs_trimmed_KO_SRR13633858/trimmed_KO_SRR13633858.flagstat.txt
Samtools	flagstat	processed | Bam_related_logs | logs_trimmed_KO_SRR13633859 | trimmed_KO_SRR13633859	/home/moji-lin/rna-seq-reanalysis/data/processed/Bam_related_logs/logs_trimmed_KO_SRR13633859/trimmed_KO_SRR13633859.flagstat.txt
Samtools	flagstat	processed | Bam_related_logs | logs_trimmed_KO_SRR13633860 | trimmed_KO_SRR13633860	/home/moji-lin/rna-seq-reanalysis/data/processed/Bam_related_logs/logs_trimmed_KO_SRR13633860/trimmed_KO_SRR13633860.flagstat.txt
Samtools	flagstat	processed | Bam_related_logs | logs_trimmed_WT_SRR13633855 | trimmed_WT_SRR13633855	/home/moji-lin/rna-seq-reanalysis/data/processed/Bam_related_logs/logs_trimmed_WT_SRR13633855/trimmed_WT_SRR13633855.flagstat.txt
Samtools	flagstat	processed | Bam_related_logs | logs_trimmed_WT_SRR13633856 | trimmed_WT_SRR13633856	/home/moji-lin/rna-seq-reanalysis/data/processed/Bam_related_logs/logs_trimmed_WT_SRR13633856/trimmed_WT_SRR13633856.flagstat.txt
Salmon	all_sections	quant_results | trimmed_KO_SRR13633857 | libParams | trimmed_KO_SRR13633857	/home/moji-lin/rna-seq-reanalysis/data/processed/quant_results/trimmed_KO_SRR13633857/libParams/flenDist.txt
