#Transcript position	Transcript coverage profile
0.0	6181.536980364382
1.0	6903.042903484277
2.0	7692.763903051377
3.0	8068.415597914788
4.0	8527.613199194026
5.0	9099.375051337778
6.0	9344.874396237425
7.0	9561.331677758322
8.0	9680.139007238044
9.0	9968.016899274844
10.0	10197.931897708917
11.0	10411.563532982793
12.0	10536.500715717266
13.0	10498.75915733178
14.0	10701.685430782789
15.0	10840.038597359666
16.0	10980.251215426122
17.0	11236.611076024463
18.0	11338.052355974907
19.0	11428.6733547588
20.0	11560.473938915049
21.0	11683.992849192182
22.0	11891.519511082415
23.0	11836.825661752131
24.0	11727.337121457467
25.0	11782.325986080234
26.0	12016.405911013117
27.0	12489.4597990146
28.0	12859.003631673966
29.0	13181.387563931095
30.0	13031.639851684027
31.0	12860.401011128652
32.0	12948.52957762455
33.0	13115.722939299274
34.0	13186.260770117668
35.0	13488.705536913674
36.0	13323.28067547388
37.0	13083.746118050172
38.0	13211.698492860593
39.0	13382.591758393937
40.0	13413.87808735886
41.0	13483.454536361285
42.0	13748.930178354807
43.0	13729.715056021732
44.0	13703.772201510898
45.0	13817.257265168677
46.0	13839.840323506269
47.0	13652.352617255026
48.0	13103.888291122927
49.0	12947.272327254368
50.0	12987.40714528795
51.0	13217.79369192824
52.0	13294.59841917259
53.0	13503.001095795516
54.0	13787.070136160402
55.0	13616.26834173682
56.0	13270.62799374312
57.0	13005.085351293561
58.0	12744.978545205226
59.0	12370.08648735291
60.0	12022.941178064522
61.0	12168.658994896085
62.0	12414.714133261301
63.0	12542.976004040427
64.0	12655.77589582287
65.0	12617.408087501992
66.0	12420.086966002062
67.0	12353.95447826651
68.0	12342.080953373394
69.0	12102.05722389171
70.0	12136.155241755829
71.0	12095.143103731587
72.0	12159.210346403095
73.0	12247.66677395293
74.0	12273.089130856273
75.0	12129.810343489324
76.0	12007.242675777878
77.0	11690.795696368146
78.0	11219.543776252585
79.0	11059.666023862736
80.0	10971.455946978369
81.0	10676.787277662204
82.0	10437.921233343914
83.0	10504.336240793466
84.0	10432.391749118744
85.0	10378.315930841522
86.0	10493.562468246644
87.0	10080.291021172456
88.0	9610.681371158289
89.0	9098.328285268015
90.0	8664.237520809911
91.0	8134.531347887015
92.0	7527.352651354431
93.0	6350.107487154394
94.0	5665.439680879496
95.0	4608.962459105107
96.0	3312.031266905384
97.0	2322.080236845148
98.0	1273.7578210055456
99.0	273.954070256096
