#Transcript position	Transcript coverage profile
0.0	37136.5149331506
1.0	40129.31996324808
2.0	42803.173392064156
3.0	44564.365952745975
4.0	46318.23472345882
5.0	48106.56237295016
6.0	49118.56651023055
7.0	50331.20428802264
8.0	51197.07321180875
9.0	52188.16675431373
10.0	52959.22219051731
11.0	53294.22734367816
12.0	53429.28369822285
13.0	53934.27376290922
14.0	54578.52342444892
15.0	55041.35167542338
16.0	55452.6730904992
17.0	56265.83816895658
18.0	56740.77958335068
19.0	56748.7915696777
20.0	57172.71736202385
21.0	57811.34072342388
22.0	58492.03865374482
23.0	59064.1458624686
24.0	59409.3961859893
25.0	59786.71844733913
26.0	60353.038053009324
27.0	60791.75656834634
28.0	61167.3400251822
29.0	61784.54105569473
30.0	61748.03466335558
31.0	61519.529875276225
32.0	61756.34763672098
33.0	62003.816599322214
34.0	62207.295722274444
35.0	62773.909836970146
36.0	62478.85952113405
37.0	61826.720547203484
38.0	61889.70239212129
39.0	62203.00860431164
40.0	62470.614833696374
41.0	62552.047495431194
42.0	63049.79158089478
43.0	63179.4718692497
44.0	63309.451135123956
45.0	63792.182732816
46.0	63803.422059590615
47.0	63266.23854516409
48.0	62716.71543845027
49.0	62580.60610676216
50.0	62807.968665391985
51.0	63398.987512698055
52.0	63499.75019084714
53.0	63966.466169805615
54.0	64440.74086443521
55.0	64251.28057504097
56.0	63884.96433700779
57.0	63556.08306144831
58.0	63355.214671344766
59.0	63392.72373583681
60.0	63345.13358226433
61.0	63737.91785214866
62.0	64065.54305573014
63.0	64047.39601515716
64.0	64099.77061288535
65.0	64040.10315614186
66.0	63718.33343775451
67.0	63710.20876022563
68.0	63707.91836716176
69.0	63392.053633472904
70.0	63561.42248411575
71.0	63448.398317228646
72.0	63344.21950498832
73.0	63434.80094137218
74.0	63381.63706991227
75.0	63294.93491487922
76.0	63032.4529066598
77.0	62608.37230374271
78.0	62095.80058341966
79.0	61981.38749972218
80.0	61861.52623075067
81.0	61603.94863505824
82.0	61193.41803705206
83.0	61129.43612904711
84.0	60768.33761038408
85.0	59863.00571036848
86.0	58817.60696554641
87.0	57090.019931921575
88.0	54705.27432298206
89.0	52158.138645407395
90.0	49304.56260379213
91.0	45799.81550368211
92.0	42102.97257085641
93.0	37329.88248207801
94.0	32896.61380986112
95.0	27558.937713518713
96.0	21675.754053683344
97.0	15409.433739393617
98.0	8945.591093898525
99.0	2569.777592765723
