#Transcript position	Transcript coverage profile
0.0	9298.37584322186
1.0	10176.190285428476
2.0	11186.669775324712
3.0	12103.97318876803
4.0	12894.039657008661
5.0	13976.598979284667
6.0	14381.92444956046
7.0	14674.257181240913
8.0	14585.240344429429
9.0	14576.435355984413
10.0	14729.01428249075
11.0	14918.696902740938
12.0	15264.45597642708
13.0	15340.49704150452
14.0	15630.488696572227
15.0	15589.616198574298
16.0	15842.14406826694
17.0	16101.296475387011
18.0	16039.591828499693
19.0	15658.407939718933
20.0	15757.234017727504
21.0	15803.84921694818
22.0	15966.467334194418
23.0	15853.90101821958
24.0	16038.132198321495
25.0	16198.607899765664
26.0	16666.211252578072
27.0	17259.69840253215
28.0	17844.51376570299
29.0	18111.288319033567
30.0	18036.61683951164
31.0	17758.9423683392
32.0	17943.034193642496
33.0	18194.546521050197
34.0	18331.40990246702
35.0	18744.95663151883
36.0	18347.153120962972
37.0	17574.760034839932
38.0	17452.793308354987
39.0	17532.697674660165
40.0	17676.365828799877
41.0	17628.31178966462
42.0	18006.77941248731
43.0	17935.431763092973
44.0	17912.273535135195
45.0	18161.46300553901
46.0	18291.7026192746
47.0	17873.70233976705
48.0	17169.98718484404
49.0	16841.645324121622
50.0	16620.30427205966
51.0	16805.72082527363
52.0	16644.18315970126
53.0	17019.76325852453
54.0	17189.624952709888
55.0	16862.5218516359
56.0	16302.481537063068
57.0	15906.441746453647
58.0	15854.461907640974
59.0	15661.538013379639
60.0	15452.295293905458
61.0	15515.231029155935
62.0	15693.733440265047
63.0	15762.374486827457
64.0	15667.19661107849
65.0	15391.112769055131
66.0	15242.773310677581
67.0	15499.07568173009
68.0	15548.59997546832
69.0	15166.694478035537
70.0	15348.020409565088
71.0	15179.569406690713
72.0	15074.236517188072
73.0	14904.79192212276
74.0	14798.40520486995
75.0	14555.220372585414
76.0	14213.543124104077
77.0	13900.960542974133
78.0	13488.747868909346
79.0	13233.7832635868
80.0	13268.356931008206
81.0	13151.615855571585
82.0	12893.455484236707
83.0	12978.425988386965
84.0	12826.029752203869
85.0	12434.512991412394
86.0	12200.92902421486
87.0	11735.917862198849
88.0	11231.785534882194
89.0	10988.577470836954
90.0	10661.421789630149
91.0	9765.651468113185
92.0	8982.691728889558
93.0	7785.8351515173035
94.0	7323.020533495932
95.0	6307.326511211702
96.0	4530.794820803771
97.0	3022.3771489109204
98.0	1673.6768770488754
99.0	257.26351691474747
