#Transcript position	Transcript coverage profile
0.0	38135.875498967645
1.0	41215.78788716463
2.0	44059.033050806764
3.0	46074.05533982923
4.0	47957.56565977737
5.0	49982.3004825282
6.0	50959.372567402585
7.0	52078.74932128614
8.0	52756.08605332315
9.0	53667.05729362988
10.0	54423.328391450916
11.0	54815.89747520067
12.0	55067.04666525285
13.0	55648.70012426393
14.0	56302.46005116166
15.0	56698.3789162817
16.0	57268.00283399388
17.0	57948.76146975767
18.0	58296.82761883537
19.0	58208.0094556428
20.0	58795.43920440873
21.0	59377.77416071309
22.0	60015.090358851325
23.0	60473.19930829844
24.0	61003.24624127115
25.0	61463.0225003464
26.0	62224.77218691375
27.0	62649.58012427776
28.0	63158.41139672434
29.0	63471.313392357
30.0	63502.807301738205
31.0	63325.4790992906
32.0	63534.988696977336
33.0	63577.27416951281
34.0	63712.345786573016
35.0	64284.37187443477
36.0	63940.24154508876
37.0	63211.22077382661
38.0	63264.48720852487
39.0	63548.11648660127
40.0	63882.512450466915
41.0	64090.48095567823
42.0	64620.11430694645
43.0	64686.12437403334
44.0	64738.32968219262
45.0	65205.93003104453
46.0	65440.183595153125
47.0	64979.60972441115
48.0	64448.52266531187
49.0	64253.29177999274
50.0	63972.934053901314
51.0	64344.65402517027
52.0	64371.93801816533
53.0	64830.93821663153
54.0	65221.851606463206
55.0	64987.92700051844
56.0	64584.90435435748
57.0	64222.97352829812
58.0	64194.94891810529
59.0	64344.266439275576
60.0	64471.66625453606
61.0	64854.87855089121
62.0	65268.84019489806
63.0	65205.013634098854
64.0	65122.016522179394
65.0	64780.44430865353
66.0	64458.85900008981
67.0	64569.77601760603
68.0	64614.969971333914
69.0	64289.30387715059
70.0	64485.84031891005
71.0	64290.55717534101
72.0	64129.221215253805
73.0	63985.17151824639
74.0	63809.57569508506
75.0	63571.19772167085
76.0	62974.36090765948
77.0	62490.208969430205
78.0	61837.731531651676
79.0	61650.4508291117
80.0	61659.755128245444
81.0	61584.616711722614
82.0	61177.05565911081
83.0	61025.727142304415
84.0	60549.341773505774
85.0	59482.0496448749
86.0	58301.92078380251
87.0	56550.15572207159
88.0	54328.079175165985
89.0	52212.724159307836
90.0	49483.24189539276
91.0	45996.40592624113
92.0	42531.33066373599
93.0	37963.468429452405
94.0	33913.68627789842
95.0	28584.53728139775
96.0	22322.451530849263
97.0	15858.751943129739
98.0	9178.123635568047
99.0	2597.537467575249
