#Transcript position	Transcript coverage profile
0.0	5729.115044223519
1.0	6578.672578245378
2.0	7436.239081570055
3.0	7825.105060990519
4.0	8359.6994032008
5.0	8867.167084355102
6.0	9005.463791174656
7.0	9186.882520427442
8.0	9339.148705605385
9.0	9653.36924698966
10.0	9961.095647864018
11.0	10184.767884161462
12.0	10326.404020177733
13.0	10339.769865114507
14.0	10489.466754950528
15.0	10651.402052030906
16.0	10868.292982696017
17.0	11192.479037348992
18.0	11363.702684808088
19.0	11446.012469212004
20.0	11541.547083630587
21.0	11623.324534082465
22.0	11802.582531433205
23.0	11760.419164331903
24.0	11642.533047019391
25.0	11747.437684701687
26.0	11934.259416441206
27.0	12366.737948497776
28.0	12699.86292737465
29.0	13046.40216171469
30.0	12800.922329231922
31.0	12602.600207086683
32.0	12711.691651125253
33.0	12772.355735531726
34.0	12738.250146280045
35.0	12927.055702771288
36.0	12737.30361787823
37.0	12484.316206495067
38.0	12633.449463607885
39.0	12824.918521273315
40.0	12815.277495663939
41.0	12891.202147563608
42.0	13233.078471175404
43.0	13285.784464711744
44.0	13244.176423199347
45.0	13357.717995819343
46.0	13324.75908109968
47.0	13164.667354380235
48.0	12671.416613787296
49.0	12424.955289607082
50.0	12532.518959781539
51.0	12887.400691286586
52.0	13033.575900551949
53.0	13249.550500164225
54.0	13522.375539840672
55.0	13331.76369150297
56.0	13041.61341971753
57.0	12748.59019823293
58.0	12427.931304328975
59.0	12085.062578830304
60.0	11746.864901548364
61.0	11853.16017800667
62.0	12128.830416262173
63.0	12230.19958214465
64.0	12367.557728430105
65.0	12310.234585936625
66.0	12106.777691332965
67.0	12036.21877732671
68.0	11934.12341757503
69.0	11694.8790708871
70.0	11737.920882459843
71.0	11727.055474387815
72.0	11903.835886540115
73.0	12037.495086932662
74.0	12050.136427765467
75.0	11913.551388757143
76.0	11790.61757251409
77.0	11457.395177210137
78.0	11121.569043927648
79.0	10968.809428221395
80.0	10764.882073566761
81.0	10479.483142550782
82.0	10152.120205618166
83.0	10126.125038312677
84.0	10014.14318090648
85.0	10031.26645932986
86.0	10239.288881267523
87.0	9913.685593970937
88.0	9425.55944488638
89.0	8815.016988326075
90.0	8324.084668936643
91.0	7822.144939024577
92.0	7202.222037375635
93.0	6092.14871184354
94.0	5404.927889183222
95.0	4386.881539113159
96.0	3171.483617025853
97.0	2241.0374416068976
98.0	1224.5471830860974
99.0	288.50146705376073
