#Transcript position	Transcript coverage profile
0.0	34781.79521866855
1.0	37800.549576194964
2.0	40545.121849708696
3.0	42340.03582568273
4.0	44028.17729240427
5.0	45745.66654870754
6.0	46743.70261106463
7.0	47795.087454633576
8.0	48607.084959262065
9.0	49471.790886780684
10.0	50189.61375269918
11.0	50528.0513765784
12.0	50644.29255197166
13.0	51208.45371676759
14.0	51738.186962759595
15.0	52168.55561459824
16.0	52582.83590821485
17.0	53245.41344555426
18.0	53754.43949368174
19.0	53926.690856181966
20.0	54268.483925309876
21.0	54877.2690429636
22.0	55559.6137654187
23.0	56159.29210831291
24.0	56519.99631069491
25.0	56924.93506057087
26.0	57462.52958896724
27.0	57852.20914513242
28.0	58321.53713139768
29.0	58754.840969434474
30.0	58475.3569404664
31.0	58276.41016868124
32.0	58530.85032473404
33.0	58694.04489891666
34.0	58650.784790654834
35.0	58956.99323529051
36.0	58651.25847702804
37.0	58273.6012427152
38.0	58464.12228005268
39.0	58943.808003500126
40.0	59279.92762506966
41.0	59531.27960672621
42.0	60210.67849240251
43.0	60658.87658497323
44.0	60757.384811275806
45.0	61114.1911575135
46.0	61274.831752852144
47.0	61046.13329639935
48.0	60721.75472731902
49.0	60616.34435393107
50.0	60633.98413599125
51.0	61083.84565465461
52.0	61199.169610671044
53.0	61444.37502609168
54.0	61900.67000232514
55.0	61623.50899254146
56.0	61350.77457798939
57.0	60976.963313938366
58.0	60874.55992907132
59.0	60953.36183278053
60.0	61118.19218343768
61.0	61670.59557313037
62.0	62043.99456245924
63.0	61901.905104346384
64.0	62003.87720411678
65.0	61956.459138296006
66.0	61642.33671405155
67.0	61629.24475727631
68.0	61627.18076748558
69.0	61377.054809715024
70.0	61575.543102903626
71.0	61535.706546959416
72.0	61600.6148617166
73.0	61923.41405074098
74.0	61942.59160019052
75.0	61950.6607694244
76.0	61807.321244598
77.0	61622.483485232115
78.0	61301.97826730483
79.0	61063.88468975213
80.0	60802.7669733109
81.0	60579.36544421976
82.0	60201.391968912045
83.0	60057.11497676268
84.0	59713.88472011119
85.0	58927.397000194665
86.0	58147.83895033203
87.0	56414.89039672793
88.0	54038.456114667606
89.0	51475.033366871205
90.0	48658.928004559755
91.0	45434.599803796664
92.0	41935.92531605328
93.0	37238.448079544185
94.0	32801.24459947188
95.0	27579.635605645097
96.0	21738.5322347627
97.0	15519.405730724911
98.0	8991.481629936485
99.0	2634.203188606636
