#Transcript position	Transcript coverage profile
0.0	8005.2607094864925
1.0	8744.176504342078
2.0	9616.697883733865
3.0	10235.76452540383
4.0	10857.608540605266
5.0	11645.787211353461
6.0	11911.34432403406
7.0	12154.95590444804
8.0	12189.293904521668
9.0	12422.825703672497
10.0	12649.157620167101
11.0	12915.845583937164
12.0	13262.217092204153
13.0	13320.452882918575
14.0	13450.98898208153
15.0	13514.021140709054
16.0	13699.939278744958
17.0	13976.530852037127
18.0	14044.60194148472
19.0	14038.620651816977
20.0	14235.972007059574
21.0	14279.040317306175
22.0	14435.688326624428
23.0	14297.322169110563
24.0	14357.50874469217
25.0	14528.542739279714
26.0	14908.300964625614
27.0	15450.18896983322
28.0	16024.15815126593
29.0	16430.454286153596
30.0	16432.205199771928
31.0	16156.523890115923
32.0	16336.483271256704
33.0	16459.847273354295
34.0	16571.74174721707
35.0	16994.506043703386
36.0	16663.227571049876
37.0	16135.492710479302
38.0	16161.284150578054
39.0	16278.450666454368
40.0	16400.550782667913
41.0	16564.26575610742
42.0	16959.15506616208
43.0	16882.801434019493
44.0	16840.554771328032
45.0	16928.013141309748
46.0	16868.98094991342
47.0	16464.873284749323
48.0	15741.787287665129
49.0	15445.136748667379
50.0	15361.617597404897
51.0	15611.958668712108
52.0	15616.756614278112
53.0	16020.595717578683
54.0	16234.978130275958
55.0	16013.599945329588
56.0	15568.857511875112
57.0	15181.94852757734
58.0	14955.683715793468
59.0	14672.998404840911
60.0	14336.80552308968
61.0	14502.28152999077
62.0	14750.468285563837
63.0	14939.685735076177
64.0	14903.311220620903
65.0	14662.288204113303
66.0	14413.12410638492
67.0	14430.939564434248
68.0	14417.042000826037
69.0	14183.757280624284
70.0	14288.856735981075
71.0	14167.666183712188
72.0	14115.387970599279
73.0	14085.156676014925
74.0	13986.491621750709
75.0	13793.373020493775
76.0	13526.984742185594
77.0	13140.30596923569
78.0	12719.122661295105
79.0	12533.956358592011
80.0	12522.404597650651
81.0	12330.024334298912
82.0	11955.336232670352
83.0	11913.957953983592
84.0	11686.742470890398
85.0	11446.275243339142
86.0	11425.639195547197
87.0	11139.80523392754
88.0	10767.230724665964
89.0	10397.578078933815
90.0	10083.903586376315
91.0	9324.479545508897
92.0	8508.662652847936
93.0	7120.760810815902
94.0	6524.382838001878
95.0	5551.963309430718
96.0	3987.784004217225
97.0	2755.930377965514
98.0	1535.639652779509
99.0	293.8922310106368
