#Transcript position	Transcript coverage profile
0.0	39135.676159248476
1.0	42139.99653286133
2.0	45022.927693001046
3.0	46944.95600542363
4.0	48775.64383579848
5.0	50698.97954613213
6.0	51668.26867924054
7.0	52699.07226901479
8.0	53514.672685474325
9.0	54537.36840764237
10.0	55268.00181152894
11.0	55608.57744249846
12.0	55800.4217542243
13.0	56422.35290791662
14.0	56943.765323536056
15.0	57433.573724095884
16.0	57993.92474488953
17.0	58756.628121262394
18.0	59276.49271996132
19.0	59391.93907489694
20.0	60044.98749661547
21.0	60678.36465000873
22.0	61281.84346507226
23.0	61733.56026835382
24.0	62208.9108483644
25.0	62600.90027402907
26.0	63258.35935205337
27.0	63715.328789905485
28.0	64226.80454455772
29.0	64684.62267627402
30.0	64599.90448290471
31.0	64361.606050557195
32.0	64684.31103697841
33.0	64756.2311654658
34.0	64933.59910582285
35.0	65487.89381194431
36.0	65070.66177285606
37.0	64481.12950258735
38.0	64662.41910575106
39.0	65047.12724711565
40.0	65391.911998581185
41.0	65684.1318574221
42.0	66276.71607057676
43.0	66412.86357065194
44.0	66438.95012551136
45.0	66827.71178655991
46.0	66890.27683577608
47.0	66461.79435598827
48.0	65860.12633910053
49.0	65648.14571471282
50.0	65561.48432059432
51.0	66038.28488874773
52.0	66202.93960717994
53.0	66652.16439236177
54.0	67110.23625172327
55.0	66932.9441364354
56.0	66644.67756384416
57.0	66297.62890150363
58.0	66140.97439670928
59.0	66201.01560147715
60.0	66197.04798140582
61.0	66606.26671447043
62.0	67042.20339402284
63.0	67116.81419937707
64.0	67076.15568710181
65.0	66772.57725945368
66.0	66318.76828668152
67.0	66274.32294949546
68.0	66262.20342903753
69.0	65937.48085277944
70.0	66186.13499436917
71.0	66059.14678521227
72.0	65907.03637715107
73.0	65927.64093826298
74.0	65758.27280247194
75.0	65613.86075764814
76.0	65179.768349151454
77.0	64736.2403989124
78.0	64223.24088917247
79.0	64100.982220016915
80.0	64097.7922261957
81.0	63904.99818275426
82.0	63420.99365018378
83.0	63231.42210792276
84.0	62701.68475878656
85.0	61712.053562335495
86.0	60607.3259947184
87.0	58926.64987399468
88.0	56694.47443414506
89.0	54272.051460911265
90.0	51381.27298774178
91.0	47882.581996667934
92.0	44181.06939609773
93.0	39250.026454934385
94.0	34819.999984606475
95.0	29267.161844456587
96.0	22946.228232254565
97.0	16380.666901311093
98.0	9483.660306580474
99.0	2739.5918401159274
